,Temperature (°C),Humidity (%),Wind Speed (m/s)
Temperature (°C),1.0,0.05170804637355678,-0.2709623904347502
Humidity (%),0.05170804637355678,1.0,-0.36834535369836435
Wind Speed (m/s),-0.2709623904347502,-0.36834535369836435,1.0
