Continent,Avg Temperature (°C),Median Temperature (°C),Std Temperature (°C),Min Temperature (°C),Max Temperature (°C),Avg Humidity (%),Median Humidity (%),Std Humidity (%),Min Humidity (%),Max Humidity (%),Avg Wind Speed (m/s),Median Wind Speed (m/s),Std Wind Speed (m/s),Min Wind Speed (m/s),Max Wind Speed (m/s)
Africa,26.9475,26.29,3.3295482676583426,23.79,31.42,56.0,50.0,25.24546163834865,34,90,2.46,2.1550000000000002,0.7785028366465125,1.92,3.61
Asia,23.125,24.455,3.9999208325498974,17.54,26.05,76.5,82.0,16.031219541881395,53,89,1.7525,1.5150000000000001,1.0191622376573155,0.89,3.09
Australia,16.7275,14.674999999999999,8.51502740257873,8.96,28.6,75.25,76.5,6.551081335677848,67,81,2.2824999999999998,2.06,1.3434377544196086,0.89,4.12
Europe,9.42,9.76,2.4706814174771026,6.42,11.74,74.25,77.5,9.069178573608527,61,81,4.605,4.61,3.775725095925285,0.45,8.75
North America,17.9625,19.22,4.295504432931404,11.95,21.46,67.5,67.5,7.593857166596345,60,75,4.245,3.605,2.072623136671659,2.57,7.2
South America,20.535,19.295,3.151555171657321,18.34,25.21,74.0,73.5,6.97614984548545,68,81,5.592499999999999,6.175,2.9926618586134985,1.79,8.23
