,Temperature (°C),Humidity (%),Wind Speed (m/s)
Temperature (°C),1.0,-0.34118317767345463,-0.13115736457188906
Humidity (%),-0.34118317767345463,1.0,0.1001893206673509
Wind Speed (m/s),-0.13115736457188906,0.1001893206673509,1.0
