timestamp,price,daily_change,moving_average_7,max_price,min_price,price_category
2024-09-05 21:24:51.585,56200.64911676952,0.2865990413798203,56296.16174859586,False,False,Very Low
2024-09-05 22:12:36.493,56037.78751865841,-0.2897859734194985,56243.802879228686,False,True,Very Low
2024-09-05 23:21:13.477,56116.08146432956,0.13971633988061338,56253.583059823504,False,False,Very Low
2024-09-06 00:18:38.982,56276.0370138709,0.28504404685314455,56229.66006818167,False,False,Very Low
2024-09-06 01:06:31.343,56004.497575819725,-0.48251343282087467,56155.649426374715,False,True,Very Low
2024-09-06 02:00:58.805,56538.22821522616,0.9530138872933636,56173.331401022915,True,False,Very Low
2024-09-06 03:18:02.900,56746.16639512935,0.3677833325650415,56274.2067571148,True,False,Very Low
2024-09-06 04:19:07.264,56707.73998451378,-0.06771631117423738,56346.6483096497,False,False,Very Low
2024-09-06 05:23:31.476,56511.21182542301,-0.34656320132743224,56414.28035347321,False,False,Very Low
2024-09-06 06:10:34.432,56447.17153444231,-0.11332315997494291,56461.57893491788,False,False,Very Low
2024-09-06 07:10:56.930,56366.66970283847,-0.14261446484473694,56474.52646191325,False,False,Very Low
2024-09-06 08:13:58.263,55812.44318192622,-0.9832522017605538,56447.09011992847,False,True,Very Low
2024-09-06 09:01:42.670,55782.373950107845,-0.053875498193756144,56339.110939197286,False,True,Very Low
2024-09-06 10:14:35.334,55937.23817176504,0.2776221424274805,56223.54976443095,False,False,Very Low
2024-09-06 11:20:46.038,56048.55200528273,0.19899772880433986,56129.38005311223,False,False,Very Low
2024-09-06 12:21:32.661,55883.98715130142,-0.2936112496997101,56039.77652823772,False,False,Very Low
2024-09-06 13:17:50.725,56805.55106357134,1.6490661444303445,56090.97360382759,True,False,Very Low
2024-09-06 14:24:25.512,55324.91474531126,-2.6064993482821763,55942.151467037984,False,True,Very Low
2024-09-06 15:18:54.484,54481.51033537016,-1.5244567729091218,55752.01820324425,False,True,Very Low
2024-09-06 16:03:40.890,54008.69564063515,-0.867844323375988,55498.6355876053,False,True,Very Low
2024-09-06 17:23:24.577,54302.84348921811,0.5446305360532477,55265.15063295574,False,False,Very Low
2024-09-06 18:14:52.556,53760.5950543657,-0.998563611056702,54938.29963996758,False,True,Very Low
2024-09-06 19:12:51.101,53752.943586111,-0.014232484307441506,54633.864844940385,False,True,Very Low
2024-09-06 20:04:52.244,53491.82745304818,-0.485770853915235,54160.475757722794,False,True,Very Low
2024-09-06 21:25:45.348,53304.61527374619,-0.3499827697349023,53871.86154749921,False,True,Very Low
2024-09-06 22:26:08.749,53803.47840034575,0.9358722955557397,53774.99984249572,False,False,Very Low
2024-09-06 23:11:17.062,53700.61737164216,-0.19117914261641555,53730.98866121102,False,False,Very Low
2024-09-07 00:03:29.568,53955.11336282272,0.4739163228222987,53681.312928868814,True,False,Very Low
2024-09-07 01:04:31.148,53900.28358818041,-0.10162109061582214,53701.268433699486,False,False,Very Low
2024-09-07 02:05:19.714,53794.89842133255,-0.1955187613724707,53707.26198158828,False,False,Very Low
