timestamp,price,daily_change,moving_average_7,max_price,min_price,price_category,valley
2024-07-20 04:09:45.771,66566.6291426702,,,False,False,Very High,True
2024-07-20 05:09:45.385,66642.59233018276,0.1141160195294865,,False,False,Very High,True
2024-07-20 06:07:55.479,66568.17448441216,-0.1116670933235863,,False,False,Very High,True
2024-07-20 08:09:19.746,66534.62101397967,-0.1870754374164507,,False,False,Very High,True
2024-07-20 12:01:04.218,66509.77639051678,-0.0761097149389322,66577.32274595156,False,True,Very High,True
2024-07-21 01:03:12.519,67056.21625885785,-0.0715378691850898,67226.50795527617,False,True,Very High,True
2024-07-21 07:03:39.233,66718.61623587705,-0.5546094116592903,67106.41716610588,False,True,Very High,True
2024-07-21 14:09:16.594,66839.245024825,-0.2348295763601182,66881.59068388844,False,False,Very High,True
2024-07-21 18:08:41.999,66656.74254454274,-1.274244322420659,67057.00439857796,False,True,Very High,True
2024-07-22 09:11:44.462,67237.8760447406,-0.0048966091507063,67610.2200500354,False,True,Very High,True
2024-07-22 15:07:50.734,66849.48086882262,-0.3565914537779102,67333.95133874119,False,True,Very High,True
2024-07-23 01:11:03.129,67443.08356677454,-0.2616946419429777,67689.5539484104,False,True,Very High,True
2024-07-23 08:02:28.316,66547.68902864128,-0.0394733366153698,67070.22819076697,False,True,Very High,True
2024-07-23 20:04:21.992,65550.6111010191,-0.690053828751569,66138.59787168485,False,True,Very High,True
2024-07-24 02:04:14.342,65679.16569478507,-0.1529468215877516,65826.8721731171,False,False,Very High,True
2024-07-25 04:02:42.081,64047.17595824331,-0.3113553560587179,64727.70157374402,False,True,High,True
2024-07-25 10:28:12.889,64022.66554565128,-0.4895171016819688,64180.06280995467,False,True,High,True
2024-07-25 20:23:26.199,64641.01794041171,-0.5220555122274928,64793.03216846921,False,False,High,True
2024-07-27 02:36:47.623,67853.86050258305,-0.0066402605435555,67925.45198792721,False,True,Very High,True
2024-07-27 20:34:48.838,67452.42722668775,-1.587261666671036,68580.60594842919,False,True,Very High,True
2024-07-28 01:22:53.532,67903.08839843822,-0.1665826170419326,68284.51911590701,False,False,Very High,True
2024-07-28 05:10:34.464,67146.3507205186,-1.2421025389640403,67909.45817403652,False,True,Very High,True
2024-07-28 09:32:34.527,67351.48146051419,-0.1826157554136398,67557.14660286257,False,False,Very High,True
2024-07-28 15:24:13.385,67663.70310802845,-0.3093975386252223,67696.42582091477,False,False,Very High,True
2024-07-28 21:29:51.024,67899.50569692253,-0.2719023716711066,67929.42720190698,False,False,Very High,True
2024-07-29 17:27:48.293,66843.5884601612,-1.5387736434685495,68670.6361698702,False,True,Very High,True
2024-07-30 02:14:49.250,66376.34485154577,-0.4995334620349956,66945.93811684268,False,True,Very High,True
2024-07-30 15:15:24.133,65932.36496728996,-0.2378592932718248,66466.52847135348,False,True,Very High,True
2024-07-30 19:01:20.057,65772.99546049278,-0.293919806580345,66112.87787957444,False,True,Very High,True
2024-07-31 05:18:50.588,65671.07335635036,-0.2139335839152489,66065.24781309465,False,True,Very High,True
2024-07-31 11:29:13.692,66053.53721834545,-0.0731032514775464,66144.2192257125,False,False,Very High,True
2024-08-01 05:00:43.970,63721.93355153429,-0.1768112100151819,64242.22211846568,False,True,High,True
2024-08-01 10:31:37.401,64378.21817930044,-0.1606477392034899,64214.446668527424,False,False,High,True
2024-08-01 17:20:51.875,62632.71592029672,-0.6454628736164647,63989.08942120866,False,True,Medium,True
2024-08-02 06:09:46.098,64023.16182936194,-0.3711060817131906,64535.950483662375,False,True,High,True
2024-08-03 01:23:42.825,60704.44382711426,-1.185683137538862,61828.85910403548,False,True,Medium,True
2024-08-03 09:08:44.340,61533.55598525428,-0.1782176866662932,61645.94111280339,False,True,Medium,True
2024-08-03 19:11:56.678,60237.708892119685,-0.5598409761477297,61127.409855263606,False,True,Low,True
2024-08-04 01:17:44.169,60559.23012888138,-0.3088888572270409,60502.645993579696,False,False,Medium,True
2024-08-04 08:25:41.871,60366.13355439771,-0.6280954540996198,60684.3175156679,False,True,Low,True
2024-08-04 18:16:02.393,57866.503799085,-0.4830151640695002,59551.14090721364,False,True,Very Low,True
2024-08-05 06:22:55.528,50942.465792781295,-3.133428121269788,54144.81546783604,False,True,Very Low,True
2024-08-05 13:33:25.329,49781.9250782462,-1.9920644067519369,51852.02791235952,False,True,Very Low,True
2024-08-05 19:16:31.989,53020.484783945656,-1.4985918324756486,53477.03734663942,False,False,Very Low,True
2024-08-06 05:25:23.908,55516.08048525463,-0.2893559908509813,55616.72444779867,False,False,Very Low,True
2024-08-06 09:39:20.931,54908.91997766227,-1.2826201183220751,55563.57039702038,False,True,Very Low,True
2024-08-06 13:06:21.783,54822.41810694833,-0.7327100477846349,55225.29094774354,False,True,Very Low,True
2024-08-07 00:32:13.549,55959.91503304742,-0.3916258436689301,56515.97686964857,False,True,Very Low,True
2024-08-07 07:04:52.668,56763.60817851029,-0.1536006028101111,56837.09969378222,False,False,Very Low,True
2024-08-07 15:46:01.330,55927.19613670224,-1.606139785712157,57000.243308767145,False,True,Very Low,True
2024-08-07 20:02:45.859,54770.26436291755,-0.6650993757188917,55750.66739978367,False,True,Very Low,True
2024-08-08 06:13:32.199,56901.8370801831,-0.0319531558296781,56611.05260688765,False,False,Very Low,True
2024-08-09 01:17:39.195,61150.03214756077,-0.6725391591008267,60679.6370381284,False,False,Medium,True
2024-08-09 05:04:43.116,60727.73255039013,-0.9194259826874274,61411.84267430719,False,True,Medium,True
2024-08-09 16:12:51.116,59882.91471121322,-1.054767241537613,60546.78165849797,False,True,Low,True
